,crimetype,datetime,casenumber,description,policebeat,address,city,state,location_1,:@computed_region_w23w_jfhw
847,PETTY THEFT,2016-01-07 11:00:00,16-002239,THEFT PERSONAL PROPERTY/PETTY THEFT,27X,5200 FOOTHILL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.202965, 37.772636]}",1188.0
848,ROBBERY,2016-02-13 19:00:00,16-008909,ATTEMPTED ROBBERY-FIREARM,26Y,1200 71ST AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.189853, 37.759216]}",1493.0
849,DOMESTIC VIOLENCE,2021-06-04 12:19:00,21-025598,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,06X,3200 SAN PABLO AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.277063, 37.822525]}",1485.0
850,MISDEMEANOR ASSAULT,2016-05-02 18:36:00,16-023356,BATTERY,10X,63RD ST & MARKET ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.27735, 37.847044]}",1485.0
851,RECOVERED O/S STOLEN,2016-01-22 15:40:00,16-003989,VEHICLE THEFT - AUTO,27Y,64TH AV & E 17TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.194432, 37.763937]}",1493.0
852,PROSTITUTION,2016-01-25 00:31:00,16-004393,LOITER:INTENT:PROSTITUTION,23X,1400 FRUITVALE AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.225774, 37.777747]}",1188.0
853,HOMICIDE,2016-01-02 13:54:00,16-000247,SC UNEXPLAINED DEATH,30Y,2600 79TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.171667, 37.763096]}",1482.0
854,FELONY ASSAULT,2021-04-26 21:02:00,21-019081,ASSAULT WITH FIREARM ON PERSON,02X,10TH ST & CHESTNUT ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.286105, 37.806388]}",1484.0
855,STOLEN AND RECOVERED VEHICLE,2021-04-09 14:30:00,21-905443,ATTEMPT VEHICLE THEFT-AUTO,23X,3700 ALAMEDA AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.226942, 37.76823]}",1188.0
856,OTHER,2016-01-08 14:07:00,16-001392,VIOLATION OF PROBATION-FELONY,30Y,77TH AV & BANCROFT AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.17437, 37.764013]}",1482.0
857,BURG - AUTO,2015-12-25 15:50:00,15-917041,BURGLARY-AUTO,20X,500 LANCASTER ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.230034, 37.771717]}",1188.0
858,STOLEN VEHICLE,2021-05-08 16:00:00,21-021120,VEHICLE THEFT - AUTO,18Y,2100 19TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.236229, 37.791464]}",1483.0
859,PETTY THEFT,2021-05-27 00:10:00,21-024214,THEFT,13Y,600 CALDWELL RD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.225294, 37.844021]}",1488.0
860,STOLEN VEHICLE,2016-04-21 20:00:00,16-021357,VEHICLE THEFT - AUTO,03Y,600 9TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.276933, 37.802287]}",1484.0
861,DISORDERLY CONDUCT,2021-04-12 12:45:00,21-016696,OFFENSIVE WORDS IN PUBLIC PLACE,12X,4600 TELEGRAPH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.263124, 37.834076]}",1486.0
862,CURFEW & LOITERING,2021-05-21 12:45:00,21-023260,ENTER/ETC NONCOMMERCIAL DWELLING,12Y,6000 CLAREMONT AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.253686, 37.847681]}",1491.0
865,STOLEN VEHICLE,2016-02-14 22:00:00,16-008396,VEHICLE THEFT - AUTO,22X,2500 MACARTHUR BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.212516, 37.799431]}",1480.0
866,DUI,2021-07-03 23:32:00,21-030813,DUI ALCOHOL/DRUGS,18X,2100 E 19TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.235597, 37.788417]}",1483.0
867,FELONY ASSAULT,2016-04-09 13:09:00,16-018776,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,900 POPLAR CT,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.290987, 37.806537]}",1484.0
868,MISDEMEANOR ASSAULT,2021-06-06 08:49:00,21-025910,BATTERY,04X,600 14TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.274977, 37.805825]}",1489.0
869,THREATS,2016-02-23 20:32:00,16-010056,ATTEMPT THEFT,34X,1900 90TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.168929, 37.752108]}",1481.0
870,PETTY THEFT,2016-04-03 13:10:00,16-017572,THEFT,04X,2200 TELEGRAPH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.269056, 37.811582]}",1489.0
871,GRAND THEFT,2021-04-04 18:19:00,21-905047,GRAND THEFT,08X,3000 BROADWAY,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.262056, 37.818822]}",1488.0
872,BURG - AUTO,2021-06-14 17:00:00,21-909232,BURGLARY-AUTO,04X,2000 BROADWAY,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.267903, 37.80946]}",1489.0
873,MISDEMEANOR ASSAULT,2016-01-28 14:10:00,16-005099,BATTERY,7X,1300 FITZGERALD ST (REAR UNI,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.281951, 37.826385]}",1485.0
874,DOMESTIC VIOLENCE,2016-04-13 01:07:00,16-019462,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,07X,26TH ST & KIRKHAM ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.286891, 37.819662]}",1484.0
875,WEAPONS,2016-01-09 02:20:00,16-001501,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,07X,1100 28TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.281352, 37.820072]}",1485.0
876,VANDALISM,2021-04-27 06:00:00,21-906315,VANDALISM,30Y,8000 CREST AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.158784, 37.767377]}",1482.0
877,DOMESTIC VIOLENCE,2016-02-08 08:00:00,16-007181,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,30X,1400 79TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.182423, 37.757034]}",1493.0
878,ROBBERY,2016-01-29 13:20:00,16-005342,ATTEMPTED ROBBERY-FIREARM,12Y,5800 TELEGRAPH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.261329, 37.844285]}",1486.0
879,STOLEN VEHICLE,2021-04-06 07:30:00,21-015679,VEHICLE THEFT - AUTO,28X,3000 COURTLAND AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.199571, 37.783206]}",1492.0
880,BURG - RESIDENTIAL,2016-02-29 06:30:00,16-011263,BURGLARY-NO FORCE,14Y,800 YORK ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.243718, 37.81281]}",1487.0
881,NARCOTICS,2016-04-20 14:00:00,16-020978,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,03Y,400 7TH ST.,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.272977, 37.799026]}",1484.0
882,STOLEN VEHICLE,2021-05-18 02:58:00,21-022636,ATTEMPT VEHICLE THEFT-AUTO,20X,2800 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.22996, 37.779876]}",1188.0
883,GRAND THEFT,2021-06-18 10:15:00,21-909521,GRAND THEFT,09X,3600 BROADWAY,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.259244, 37.823327]}",1488.0
884,VANDALISM,2021-06-22 19:45:00,21-909844,VANDALISM,26Y,7200 SAN LEANDRO ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.197109, 37.753613]}",1493.0
885,PETTY THEFT,2016-04-05 17:57:00,16-017974,THEFT,03Y,400 7TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.272977, 37.799026]}",1484.0
886,MISDEMEANOR ASSAULT,2021-04-27 19:00:00,21-019274,THREAT CRIME:INT:TERRORIZE,25X,4400 TULIP AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.191362, 37.78826]}",1492.0
887,DOMESTIC VIOLENCE,2021-04-16 14:00:00,21-017366,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,02X,14TH ST & FILBERT ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.282872, 37.808911]}",1484.0
888,THREATS,2021-06-22 09:00:00,21-030627,THREAT CRIME:INT:TERRORIZE,18Y,2500 HIGHLAND AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.230135, 37.793151]}",1483.0
889,OTHER SEX OFFENSES,2021-05-16 00:30:00,21-022351,UNCONSCIOUS OR ASLEEP,04X,300 15TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.267163, 37.803956]}",1489.0
890,MISDEMEANOR ASSAULT,2016-02-02 00:06:00,16-005966,VANDALISM,33X,9200 C ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.177523, 37.746021]}",1481.0
891,TOWED VEHICLE,2017-09-23 23:16:00,17-050071,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,31X,600 HEGENBERGER RD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.195947, 37.744964]}",1493.0
892,BURG - COMMERCIAL,2016-05-06 21:30:00,16-024245,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,08X,2800 BROADWAY,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.263462, 37.816574]}",1488.0
893,STOLEN VEHICLE,2021-06-13 06:00:00,21-027298,VEHICLE THEFT - AUTO,25X,3800 39TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.19441, 37.791818]}",1492.0
894,DOMESTIC VIOLENCE,2021-06-01 13:12:00,21-025088,VIOL COURT ORDER TO PREVENT DOMESTIC VIOL W/PHYSICAL INJ,21Y,2900 E 29TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.219152, 37.791813]}",1188.0
895,FELONY ASSAULT,2016-02-16 14:30:00,16-008688,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,19X,1400 2ND AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.255975, 37.798201]}",1483.0
896,WEAPONS,2021-07-03 02:04:00,21-030642,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,20X,1200 FRUITVALE AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.226428, 37.776456]}",1188.0
897,VANDALISM,2021-05-28 10:30:00,21-024502,VANDALISM,27Y,5200 BANCROFT AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.203387, 37.771774]}",1188.0
898,WEAPONS,2016-01-09 02:20:00,16-001501,CARRY LOADED FIREARM WHILE /PROHIBATED: SPEC PRIOR,07X,1100 28TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.281352, 37.820072]}",1485.0
899,PROSTITUTION,2016-02-25 19:48:00,16-010481,DISORDERLY CONDUCT:PROSTITUTION,20X,1700 28TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.226941, 37.782921]}",1188.0
900,BURG - AUTO,2021-04-26 21:00:00,21-906317,BURGLARY-AUTO,08X,400 37TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.261809, 37.824534]}",1486.0
901,MISDEMEANOR ASSAULT,2021-04-24 23:03:00,21-018796,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,22Y,3400 JOAQUIN MILLER RD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.188567, 37.809781]}",1480.0
903,MISDEMEANOR ASSAULT,2021-06-16 12:31:00,21-027754,BATTERY,26X,5100 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.20784, 37.769104]}",1188.0
904,ROBBERY,2021-04-20 00:11:00,21-017877,ASSAULT WITH FIREARM ON PERSON,27Y,5400 FAIRFAX AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.200797, 37.771001]}",1188.0
905,FELONY ASSAULT,2021-04-12 00:19:00,21-016939,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21Y,3000 MAPLE AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.210907, 37.791225]}",1480.0
907,BURG - RESIDENTIAL,2021-06-23 10:34:00,21-909904,BURGLARY-FORCIBLE ENTRY,06X,3700 WEST ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.271857, 37.826793]}",1485.0
908,RECOVERED O/S STOLEN,2016-04-25 10:50:00,16-021889,VEHICLE THEFT - AUTO,35X,94TH AV & LAWLOR ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.158364, 37.75363]}",1482.0
909,VANDALISM,2021-05-10 14:00:00,21-907682,VANDALISM,04X,19TH ST & FRANKLIN ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.267798, 37.807302]}",1489.0
910,VANDALISM,2021-04-13 18:06:00,21-016913,VANDALISM-$400,17X,1600 11TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.246856, 37.792772]}",1483.0
911,VANDALISM,2021-04-23 05:45:00,21-018491,VANDALISM (AMENDED),27Y,1400 57TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.201644, 37.766116]}",1493.0
912,STOLEN VEHICLE,2016-02-29 22:29:00,16-011234,POSS STOLEN VEH/VES/ETC,34X,84TH AV & INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.177864, 37.754429]}",1493.0
913,MISDEMEANOR ASSAULT,2021-04-23 10:52:00,21-018504,THEFT,23X,1400 39TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.218517, 37.774863]}",1188.0
914,THREATS,2021-06-08 00:00:00,21-026215,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,21Y,2300 HUGHES AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.221176, 37.78502]}",1188.0
915,RECOVERED O/S STOLEN,2021-05-15 15:39:00,21-022462,VEHICLE THEFT - AUTO,33X,1200 86TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.179792, 37.751054]}",1493.0
916,BURG - RESIDENTIAL,2021-04-29 14:31:00,21-019629,BATTERY W/SERIOUS BODILY INJURY,35X,9400 PEACH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.162974, 37.751693]}",1481.0
917,FELONY ASSAULT,2021-05-09 01:21:00,21-021131,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,35X,2200 89TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.166152, 37.754401]}",1482.0
918,STOLEN VEHICLE,2015-12-30 16:30:00,15-068932,VEHICLE THEFT - AUTO,25X,4200 ATLAS AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.188837, 37.796872]}",1492.0
919,MISDEMEANOR ASSAULT,2021-05-13 11:16:00,21-021828,ASSAULT,30X,8100 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.180557, 37.756141]}",1493.0
921,TOWED VEHICLE,2016-02-17 01:45:00,16-008764,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,20X,2600 E 16TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.231005, 37.783062]}",1188.0
922,STOLEN VEHICLE,2021-02-01 20:00:00,21-907031,ATTEMPT VEHICLE THEFT-AUTO,09X,200 MONTE VISTA AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.25183, 37.824069]}",1488.0
923,DOMESTIC VIOLENCE,2015-10-15 07:00:00,16-000670,THREAT CRIME:INT:TERRORIZE,21Y,2400 FRUITVALE AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.221471, 37.786966]}",1188.0
924,GRAND THEFT,2021-06-19 12:34:00,21-028262,THREAT CRIME:INT:TERRORIZE,15X,500 BODEN WY,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.249062, 37.807421]}",1487.0
925,PETTY THEFT,2016-04-22 03:00:00,16-021333,THEFT:PERSONAL PROPERTY,17Y,2600 IVY DR,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.240831, 37.801753]}",1483.0
926,MISDEMEANOR ASSAULT,2016-03-19 19:35:00,16-014785,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,02X,900 MARKET ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.282444, 37.803906]}",1484.0
927,VANDALISM,2021-05-02 03:30:00,21-020024,VANDALISM,28X,4800 BROOKDALE AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.200396, 37.779204]}",1492.0
929,STOLEN AND RECOVERED VEHICLE,2016-04-16 06:06:00,16-020133,VEHICLE THEFT - AUTO,14X,GRAND AV & LEE ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.257223, 37.809067]}",1487.0
930,BURG - AUTO,2021-04-13 08:00:00,21-905487,BURGLARY-AUTO,26X,4900 COLISEUM WY,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.215894, 37.764551]}",1188.0
931,ROBBERY,2016-04-05 13:40:00,16-017923,EXHIBIT FIREARM,23X,3800 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.219756, 37.774686]}",1188.0
932,FELONY ASSAULT,2021-04-10 12:25:00,21-016375,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,24Y,2700 HUMBOLDT AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.209765, 37.790487]}",1480.0
933,PETTY THEFT,2021-05-07 07:15:00,21-021557,THEFT,16Y,1100 HOLLYWOOD AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.217603, 37.812282]}",1480.0
934,BURG - COMMERCIAL,2021-05-25 04:19:00,21-023848,BURGLARY-FORCIBLE ENTRY,30X,7200 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.187841, 37.759625]}",1493.0
935,ROBBERY,2021-05-13 15:00:00,21-021861,ROBBERY-FIREARM,06X,3200 MARKET ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.275989, 37.822389]}",1485.0
