,crimetype,datetime,casenumber,description,policebeat,address,city,state,location_1,:@computed_region_w23w_jfhw
950,BURG - AUTO,2021-05-06 14:00:00,21-906720,BURGLARY-AUTO,04X,1400 HARRISON ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.267606, 37.80292]}",1489.0
951,STOLEN AND RECOVERED VEHICLE,2021-05-03 11:00:00,21-020121,VEHICLE THEFT - AUTO,31Y,400 WORTH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.191568, 37.736747]}",1481.0
952,PROSTITUTION,2016-04-13 20:04:00,16-019659,DISORDERLY CONDUCT:SOLICIT LEWD ACT,18X,1800 19TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.238111, 37.7896]}",1483.0
954,STOLEN AND RECOVERED VEHICLE,2021-05-16 11:08:00,21-022335,VEHICLE THEFT - AUTO,08X,3400 ANDOVER ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.264209, 37.82194]}",1486.0
955,OTHER,2016-02-19 11:00:00,16-010207,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,03X,1200 FALLON ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.262609, 37.799251]}",1484.0
956,DISORDERLY CONDUCT,2016-04-15 00:00:00,16-024141,DISTURB THE PEACE,24X,1900 40TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.215209, 37.777836]}",1188.0
957,STOLEN VEHICLE,2016-04-01 19:30:00,16-017296,VEHICLE THEFT - AUTO,14X,200 MACARTHUR BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.253038, 37.817623]}",1487.0
959,ROBBERY,2000-01-08 18:00:00,21-023964,ATTEMPTED ROBBERY-STRONG-ARM,19X,16TH AV & E 15TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.243427, 37.789196]}",1483.0
960,WEAPONS,2016-04-05 18:40:00,16-017990,CARRY LOADED HANDGUN: NOT REG OWNER,28X,HIGH ST & PENNIMAN AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.200729, 37.784291]}",1492.0
961,BURG - COMMERCIAL,2016-01-25 21:30:00,16-004651,BURGLARY-FORCIBLE ENTRY,09X,6700 SAN PABLO AVENUE,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.285834, 37.849756]}",1485.0
962,MISDEMEANOR ASSAULT,2016-02-22 19:46:00,16-009850,ASSAULT WITH FIREARM ON PERSON,29X,3400 64TH AV PL,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.178365, 37.774246]}",1482.0
963,STOLEN VEHICLE,2016-01-07 20:30:00,16-001259,VEHICLE THEFT - AUTO,03Y,400 7TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.272977, 37.799026]}",1484.0
964,STOLEN VEHICLE,2016-01-06 12:43:00,16-000914,VEHICLE THEFT - AUTO,05X,1900 POPLAR ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.28823, 37.81323]}",1484.0
965,MISDEMEANOR ASSAULT,2021-04-21 14:00:00,21-018266,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,18X,2000 INDEPENDENCE WY,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.237582, 37.78766]}",1483.0
966,VANDALISM,2016-05-03 00:00:00,16-023748,VANDALISM,02X,1000 8TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.284485, 37.804078]}",1484.0
967,STOLEN VEHICLE,2021-04-16 21:00:00,21-017476,VEHICLE THEFT - AUTO,20X,24TH AV & FOOTHILL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.232349, 37.784768]}",1188.0
968,ROBBERY,2016-01-27 18:40:00,16-004977,ROBBERY-FIREARM,23X,1100 35TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.22353, 37.775009]}",1188.0
969,STOLEN VEHICLE,2021-06-10 20:20:00,21-026901,VEHICLE THEFT - AUTO,03Y,400 7TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.272977, 37.799026]}",1484.0
970,VANDALISM,2016-04-19 12:00:00,16-020736,BATTERY,24X,3500 GRAY ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.215274, 37.785112]}",1188.0
972,MISDEMEANOR ASSAULT,2021-05-12 15:45:00,21-021712,BATTERY,12Y,COLLEGE AV & LAWTON AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.25158, 37.842554]}",1491.0
974,ARSON,2016-03-18 23:40:00,16-014728,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,29X,5700 WALNUT ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.192403, 37.773507]}",1482.0
975,OTHER,2016-03-25 06:30:00,16-015892,CRIMINAL CONTEMPT,03Y,400 7TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.272977, 37.799026]}",1484.0
976,PETTY THEFT,2021-05-18 10:38:00,21-022712,WITH INTENT TO DEFRAUD ACQUIRE ID OF PERS DEPLOYED OUT OF STATE (AMENDED TO:COMMIT MAIL THEFT),16X,900 MANDANA BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.229443, 37.812303]}",1487.0
977,NARCOTICS,2016-04-06 22:53:00,16-018271,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,08X,23RD ST & TELEGRAPH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.268796, 37.812608]}",1489.0
978,ROBBERY,2016-04-06 03:30:00,16-018069,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",21Y,2000 FRUITVALE AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.222713, 37.783865]}",1188.0
980,BURG - COMMERCIAL,2016-01-07 18:20:00,16-001330,BURGLARY-FORCIBLE ENTRY,13Z,1900 MOUNTAIN BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.210837, 37.829079]}",1488.0
981,STOLEN VEHICLE,2021-06-13 15:30:00,21-027314,VEHICLE THEFT - AUTO,26X,5400 COLISEUM WY,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.212525, 37.762788]}",1493.0
982,STOLEN VEHICLE,2016-04-20 20:00:00,16-021158,VEHICLE THEFT - AUTO,11X,600 ALCATRAZ AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.262716, 37.849899]}",1486.0
983,FELONY ASSAULT,2021-07-11 02:43:00,21-032044,ASSAULT WITH FIREARM ON PERSON,19X,500 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.253838, 37.795747]}",1483.0
984,BURG - RESIDENTIAL,2021-06-23 01:00:00,21-909856,BURGLARY-FORCIBLE ENTRY,15X,500 CAPELL ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.240621, 37.803306]}",1483.0
985,DOMESTIC VIOLENCE,2016-02-12 19:40:00,16-008023,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,35X,2300 83RD AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.167913, 37.760114]}",1482.0
986,PETTY THEFT,2021-05-21 14:20:00,21-907726,THEFT,01X,400 3RD ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.274569, 37.796218]}",1484.0
987,PETTY THEFT,2021-06-08 15:00:00,21-027046,THEFT,22Y,3100 MADELINE ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.201912, 37.798138]}",1480.0
988,FELONY ASSAULT,2016-01-11 01:26:00,16-001799,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,18Y,3100 ARDLEY AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.225029, 37.798105]}",1480.0
989,MISDEMEANOR ASSAULT,2021-05-31 19:50:00,21-024958,BATTERY,06X,700 25TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.273606, 37.815214]}",1489.0
990,BURG - AUTO,2021-05-20 05:00:00,21-907599,BURGLARY-AUTO,10Y,900 46TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.273148, 37.835221]}",1485.0
991,MISDEMEANOR ASSAULT,2016-01-06 13:38:00,16-000929,DISTURB THE PEACE,28X,4400 PENNIMAN AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.199535, 37.782872]}",1492.0
992,FELONY ASSAULT,2021-06-12 03:34:00,21-026973,ASSAULT WITH FIREARM ON PERSON,20X,2300 E 12TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.236682, 37.782624]}",1483.0
993,STOLEN VEHICLE,2021-05-21 01:45:00,21-023230,VEHICLE THEFT - AUTO,10Y,600 42ND ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.266981, 37.83133]}",1486.0
994,FELONY ASSAULT,2021-04-18 15:09:00,21-017636,CARRY LOADED HANDGUN: NOT REG OWNER,06X,3000 WEST ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.273486, 37.820287]}",1485.0
995,RECOVERED O/S STOLEN,2021-05-27 14:36:00,21-024321,VEHICLE THEFT - AUTO,21Y,2100 WOODBINE AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.219074, 37.797875]}",1480.0
996,VANDALISM,2016-04-21 09:30:00,16-021161,"VANDALISM [UNDER $1,000] (AMENDED)",34X,1900 96TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.165951, 37.74837]}",1481.0
997,PETTY THEFT,2021-04-12 08:00:00,21-019334,THEFT,02X,5TH ST & MARKET ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.283253, 37.80134]}",1484.0
998,STOLEN VEHICLE,2021-07-01 21:00:00,21-030851,VEHICLE THEFT - AUTO,28X,2700 MAXWELL AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.19733, 37.778018]}",1492.0
999,FELONY ASSAULT,2021-06-19 00:24:00,21-028185,ADW NOT F/ARM:PO/FIRE:GBI,17Y,3300 PARK BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.235283, 37.803304]}",1487.0
